"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","pred_profit"
"1",14434,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"N14","D",150,6,7.3,2.4,274,89,"Average","owner-occupied",51.624538,-0.129001,87,63,4,"arnos grove","Thames Water",61300,"Enfield","tube",1,0,0,0.83889,750000,822177.246374235,0.0962363284989799
"2",12562,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA0","C",59,2,1.5,1.4,142,136,"Average","owner-occupied",51.551654,-0.296625,79,38,4,"wembley central","Affinity Water",48900,"Brent","tube",2,1,1,0.1037738,229000,262699.344418812,0.147158709252454
"3",8866,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E3","D",58,2,2.8,1.2,253,110,"Average","owner-occupied",51.536359,-0.032838,23,17,2,"hackney wick","Thames Water",46200,"Tower Hamlets","light_rail",0,0,1,0.9140794,152000,390850.396505146,1.57138418753385
"4",10721,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"HA2","D",74,5,3.5,1.2,256,80,"Average","owner-occupied",51.559214,-0.374416,73,39,5,"northolt park","Affinity Water",52200,"Harrow","rail",0,1,0,0.7655648,379000,389476.294089126,0.027641936910623
"5",1057,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W4","E",97.3,5,6.5,5.7,303,266,"Average","owner-occupied",51.49138,-0.257589,100,8,2,"turnham green","Thames Water",60700,"Hounslow","tube",2,0,0,0.4486508,930000,931366.329802893,0.00146917183106735
"6",1527,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE9","E",91,5,4.9,1.6,309,101,"Average","owner-occupied",51.45961,0.052937,24,46,4,"eltham","Thames Water",59600,"Greenwich","rail",0,1,0,0.4095026,350000,495481.545279276,0.41566155794079
"7",13961,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW12","E",137,5,5.1,3,240,140,"Poor","owner-occupied",51.447094,-0.143444,22,26,3,"balham","Thames Water",64000,"Wandsworth","tube",1,1,0,0.5928156,688000,1128869.19573128,0.640798249609416
"8",12108,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"RM14","D",73,4,2.9,0.8,224,58,"Average","owner-occupied",51.560303,0.270196,49,16,6,"upminster","Essex & Suffolk Water",48100,"Havering","tube",1,0,1,1.1303266,386000,358028.885537889,-0.0724640271039152
"9",9363,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW5","E",54.15,2,4.2,3.2,458,357,"Poor","owner-occupied",51.495489,-0.191611,65,14,1,"earls court","Thames Water",56600,"Kensington and Chelsea","tube",2,0,0,0.2839798,534000,598526.64800571,0.120836419486348
"10",1155,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE12","D",96,5,4.3,2.5,253,143,"Average","owner-occupied",51.457233,0.007963,98,18,3,"hither green","Thames Water",53500,"Lewisham","rail",0,1,0,0.5822518,459000,538603.667866386,0.173428470297137
"11",11196,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"CR0","D",79,4,3.8,1,277,67,"Average","owner-occupied",51.390155,-0.047351,75,39,3,"arena","Thames Water",56200,"Croydon","light_rail",0,0,1,0.627614,350000,467896.021555954,0.336845775874155
